2000	2
0	-3.002371	-0.076243
1	-3.002371	-0.005655
2	-3.030305	0.437688
3	-3.030305	-0.459201
4	-2.929461	0.394647
5	-2.929461	-0.413211
6	-2.818427	0.566366
7	-2.818427	-0.716210
8	-2.882725	0.859261
9	-2.882725	-0.704218
10	-2.795082	0.781878
11	-2.795082	-0.709114
12	-2.873667	0.956602
13	-2.873667	-0.733629
14	-2.797299	0.826982
15	-2.797299	-0.925623
16	-2.648625	0.930890
17	-2.648625	-1.070495
18	-2.909214	1.093538
19	-2.909214	-1.216357
20	-2.745536	1.088613
21	-2.745536	-1.168498
22	-2.825656	1.210050
23	-2.825656	-1.141687
24	-2.727954	1.254867
25	-2.727954	-1.330890
26	-2.508380	1.327545
27	-2.508380	-1.396048
28	-2.554633	1.380673
29	-2.554633	-1.357058
30	-2.628333	1.176709
31	-2.628333	-1.421395
32	-2.777170	1.468897
33	-2.777170	-1.457346
34	-2.583343	1.606328
35	-2.583343	-1.602713
36	-2.565745	1.615850
37	-2.565745	-1.434833
38	-2.431211	1.522489
39	-2.431211	-1.554553
40	-2.456602	1.535817
41	-2.456602	-1.498131
42	-2.380136	1.611481
43	-2.380136	-1.585178
44	-2.496483	1.717280
45	-2.496483	-1.727009
46	-2.390897	1.665655
47	-2.390897	-1.622672
48	-2.348212	1.634695
49	-2.348212	-1.831421
50	-2.433070	1.732322
51	-2.433070	-1.736160
52	-2.292029	1.964574
53	-2.292029	-1.785302
54	-2.309004	1.837015
55	-2.309004	-1.936904
56	-2.249502	1.897868
57	-2.249502	-1.766270
58	-2.424635	2.066401
59	-2.424635	-2.008737
60	-2.452438	2.003982
61	-2.452438	-1.871774
62	-2.245716	2.032794
63	-2.245716	-2.198632
64	-2.263420	1.885956
65	-2.263420	-1.837985
66	-2.197952	2.055856
67	-2.197952	-2.037647
68	-2.274921	2.187100
69	-2.274921	-2.097237
70	-2.243416	2.190279
71	-2.243416	-2.185714
72	-2.043451	2.123460
73	-2.043451	-2.113742
74	-2.177500	2.102029
75	-2.177500	-1.811466
76	-2.119822	2.075679
77	-2.119822	-2.174078
78	-2.260467	2.227354
79	-2.260467	-2.064547
80	-1.942698	2.139078
81	-1.942698	-2.392109
82	-2.216628	2.348628
83	-2.216628	-2.011951
84	-2.069684	2.219334
85	-2.069684	-2.432218
86	-1.874423	2.287177
87	-1.874423	-2.236024
88	-2.157064	2.353703
89	-2.157064	-2.226501
90	-1.957837	2.164500
91	-1.957837	-2.515863
92	-1.935198	2.259753
93	-1.935198	-2.251153
94	-1.985937	2.412008
95	-1.985937	-2.244015
96	-1.890886	2.238637
97	-1.890886	-2.291038
98	-1.780625	2.271165
99	-1.780625	-2.373587
100	-1.826859	2.315232
101	-1.826859	-2.412782
102	-1.739776	2.486325
103	-1.739776	-2.366504
104	-1.779813	2.679988
105	-1.779813	-2.330219
106	-1.650211	2.576580
107	-1.650211	-2.562177
108	-1.665969	2.347844
109	-1.665969	-2.398299
110	-1.741244	2.536161
111	-1.741244	-2.514045
112	-1.544368	2.528584
113	-1.544368	-2.500090
114	-1.908824	2.570048
115	-1.908824	-2.671212
116	-1.541933	2.637011
117	-1.541933	-2.616998
118	-1.535932	2.770020
119	-1.535932	-2.570363
120	-1.464758	2.594518
121	-1.464758	-2.541324
122	-1.483081	2.596869
123	-1.483081	-2.483644
124	-1.365842	2.675392
125	-1.365842	-2.460858
126	-1.495616	2.560110
127	-1.495616	-2.516411
128	-1.339515	2.590611
129	-1.339515	-2.899166
130	-1.371406	2.800601
131	-1.371406	-2.772904
132	-1.454897	2.459611
133	-1.454897	-2.628312
134	-1.377456	2.620565
135	-1.377456	-2.574827
136	-1.440954	2.884020
137	-1.440954	-2.728303
138	-1.493552	2.686029
139	-1.493552	-2.652671
140	-1.306486	2.845242
141	-1.306486	-2.611244
142	-1.369135	2.669509
143	-1.369135	-2.641538
144	-1.204916	2.682662
145	-1.204916	-2.704074
146	-1.368826	2.745907
147	-1.368826	-2.636488
148	-1.270309	2.650842
149	-1.270309	-2.819201
150	-1.026850	2.843859
151	-1.026850	-3.066163
152	-1.225783	2.788419
153	-1.225783	-2.632757
154	-1.272013	2.954534
155	-1.272013	-2.862684
156	-1.180150	2.704614
157	-1.180150	-2.808987
158	-1.226071	2.822676
159	-1.226071	-2.923101
160	-0.967874	2.854052
161	-0.967874	-2.718025
162	-1.139015	2.992495
163	-1.139015	-2.777146
164	-0.988694	2.703463
165	-0.988694	-2.933675
166	-1.032011	2.621055
167	-1.032011	-2.833864
168	-1.067765	2.640314
169	-1.067765	-2.812090
170	-1.055100	2.780540
171	-1.055100	-2.841383
172	-1.004214	2.865769
173	-1.004214	-3.049032
174	-1.043868	2.835395
175	-1.043868	-2.781340
176	-0.871296	3.026773
177	-0.871296	-2.882705
178	-0.764229	2.815544
179	-0.764229	-2.818244
180	-0.859786	2.739661
181	-0.859786	-2.901093
182	-0.943535	2.915387
183	-0.943535	-2.963054
184	-0.825238	2.966719
185	-0.825238	-2.818461
186	-0.787067	2.871025
187	-0.787067	-3.093713
188	-0.679435	2.925005
189	-0.679435	-2.820821
190	-0.683419	2.756311
191	-0.683419	-2.907875
192	-0.493097	2.894352
193	-0.493097	-2.845145
194	-0.635481	2.945197
195	-0.635481	-3.000900
196	-0.655922	2.817491
197	-0.655922	-2.840544
198	-0.569076	2.898145
199	-0.569076	-2.873771
200	-0.615652	2.962817
201	-0.615652	-2.842580
202	-0.563356	2.895487
203	-0.563356	-2.968836
204	-0.610916	2.902191
205	-0.610916	-3.078993
206	-0.470431	2.862622
207	-0.470431	-2.912653
208	-0.554419	2.908465
209	-0.554419	-2.878988
210	-0.514941	2.895348
211	-0.514941	-3.140206
212	-0.429253	2.896338
213	-0.429253	-3.037352
214	-0.453499	2.924628
215	-0.453499	-3.000313
216	-0.361232	2.832166
217	-0.361232	-3.079352
218	-0.511612	3.134817
