2000	2
0	-3.000000	0.059544
1	-2.994000	0.127402
2	-2.988000	0.674134
3	-2.982000	0.421232
4	-2.976000	0.512159
5	-2.970000	0.357425
6	-2.964000	0.141893
7	-2.958000	0.725127
8	-2.952000	0.735003
9	-2.946000	0.714932
10	-2.940000	0.623459
11	-2.934000	0.410467
12	-2.928000	0.507784
13	-2.922000	0.550111
14	-2.916000	0.560700
15	-2.910000	0.339217
16	-2.904000	0.689151
17	-2.898000	0.600166
18	-2.892000	0.748954
19	-2.886000	0.477485
20	-2.880000	1.191714
21	-2.874000	0.970814
22	-2.868000	1.313095
23	-2.862000	0.622171
24	-2.856000	0.597202
25	-2.850000	1.009859
26	-2.844000	1.083146
27	-2.838000	1.108928
28	-2.832000	0.861633
29	-2.826000	0.742142
30	-2.820000	1.233267
31	-2.814000	0.939460
32	-2.808000	1.536983
33	-2.802000	1.474997
34	-2.796000	0.899699
35	-2.790000	1.344470
36	-2.784000	1.198748
37	-2.778000	1.154652
38	-2.772000	0.962650
39	-2.766000	1.071954
40	-2.760000	1.203059
41	-2.754000	1.355249
42	-2.748000	1.353876
43	-2.742000	1.525893
44	-2.736000	1.350617
45	-2.730000	1.149410
46	-2.724000	1.081719
47	-2.718000	0.932483
48	-2.712000	1.435675
49	-2.706000	1.185769
50	-2.700000	1.637026
51	-2.694000	1.578042
52	-2.688000	1.416979
53	-2.682000	1.389279
54	-2.676000	1.315662
55	-2.670000	1.595174
56	-2.664000	1.320672
57	-2.658000	1.544190
58	-2.652000	1.304284
59	-2.646000	1.393910
60	-2.640000	1.663804
61	-2.634000	1.536881
62	-2.628000	1.303232
63	-2.622000	1.594591
64	-2.616000	1.560527
65	-2.610000	1.542443
66	-2.604000	1.494971
67	-2.598000	1.524302
68	-2.592000	1.877317
69	-2.586000	1.551329
70	-2.580000	1.542740
71	-2.574000	1.398279
72	-2.568000	1.592241
73	-2.562000	1.762899
74	-2.556000	1.664422
75	-2.550000	1.870013
76	-2.544000	1.750758
77	-2.538000	1.547488
78	-2.532000	1.618097
79	-2.526000	1.915432
80	-2.520000	1.527163
81	-2.514000	1.624843
82	-2.508000	1.590981
83	-2.502000	1.900315
84	-2.496000	1.743861
85	-2.490000	1.512287
86	-2.484000	1.918357
87	-2.478000	1.466317
88	-2.472000	1.871498
89	-2.466000	1.927839
90	-2.460000	1.802397
91	-2.454000	1.473195
92	-2.448000	1.943259
93	-2.442000	1.671523
94	-2.436000	1.755950
95	-2.430000	1.494958
96	-2.424000	1.557154
97	-2.418000	1.743699
98	-2.412000	1.760695
99	-2.406000	2.079156
100	-2.400000	1.840375
101	-2.394000	1.720739
102	-2.388000	1.752952
103	-2.382000	1.477930
104	-2.376000	1.924482
105	-2.370000	2.250677
106	-2.364000	1.876830
107	-2.358000	1.858191
108	-2.352000	2.103006
109	-2.346000	1.777985
110	-2.340000	2.172622
111	-2.334000	2.024298
112	-2.328000	1.836993
113	-2.322000	2.077357
114	-2.316000	1.845585
115	-2.310000	1.928785
116	-2.304000	2.064914
117	-2.298000	1.676754
118	-2.292000	2.233167
119	-2.286000	1.625494
120	-2.280000	1.968842
121	-2.274000	1.778386
122	-2.268000	1.994245
123	-2.262000	1.987859
124	-2.256000	2.190986
125	-2.250000	1.901562
126	-2.244000	1.871560
127	-2.238000	1.657292
128	-2.232000	1.819943
129	-2.226000	1.854347
130	-2.220000	2.347103
131	-2.214000	2.252350
132	-2.208000	2.029463
133	-2.202000	2.053756
134	-2.196000	1.965563
135	-2.190000	2.069370
136	-2.184000	2.027260
137	-2.178000	1.777592
138	-2.172000	2.113123
139	-2.166000	2.246451
140	-2.160000	2.179830
141	-2.154000	2.221676
142	-2.148000	2.109471
143	-2.142000	2.218396
144	-2.136000	2.136307
145	-2.130000	1.931349
146	-2.124000	2.133153
147	-2.118000	2.155525
148	-2.112000	1.890782
149	-2.106000	2.106047
150	-2.100000	2.117584
151	-2.094000	2.322769
152	-2.088000	1.876850
153	-2.082000	2.424647
154	-2.076000	2.087418
155	-2.070000	1.868122
156	-2.064000	2.261977
157	-2.058000	1.784747
158	-2.052000	2.539878
159	-2.046000	2.161059
160	-2.040000	2.210023
161	-2.034000	1.999575
162	-2.028000	1.992348
163	-2.022000	2.467797
164	-2.016000	2.280148
165	-2.010000	2.330280
166	-2.004000	2.420849
167	-1.998000	1.960016
168	-1.992000	2.129660
169	-1.986000	2.273449
170	-1.980000	2.329062
171	-1.974000	2.183413
172	-1.968000	2.219004
173	-1.962000	2.330313
174	-1.956000	2.582069
175	-1.950000	1.982661
176	-1.944000	2.523663
177	-1.938000	2.304554
178	-1.932000	2.393831
179	-1.926000	2.418044
